kind	path (under app/src/main/java/com/forge/app/)	line	decl	name	test_refs	parked
testonly	core/io/OrientedBitmaps.kt	52	fun	fromExifTag	14	False
testonly	data/prefs/SettingsRepository.kt	867	fun	setWeeklySchedule	6	False
testonly	data/repo/BackupRepository.kt	1346	val	bytesSpent	2	False
testonly	data/repo/CoachGoalRepository.kt	63	fun	archive	10	False
testonly	data/repo/ProgressPhotoRepository.kt	169	fun	fileForOrNull	2	False
testonly	data/repo/StatsEffortAggregations.kt	167	fun	buildWeeklyDurations	2	False
testonly	data/repo/StatsStrengthAggregations.kt	163	fun	buildOverloadSummary	5	False
testonly	data/repo/StatsStrengthAggregations.kt	198	fun	buildPrRecency	2	False
testonly	data/repo/StatsStrengthAggregations.kt	229	fun	buildPatternRadar	2	False
testonly	domain/academy/AcademyRegistry.kt	92	fun	byTrack	3	False
testonly	domain/academy/AcademyRegistry.kt	125	fun	stateOf	5	False
testonly	domain/academy/AcademyRegistry.kt	144	fun	orphanLessons	2	False
testonly	domain/cardio/CardioCalorieEstimator.kt	15	object	CardioCalorieEstimator	11	False
testonly	domain/cardio/CardioWeekSeries.kt	88	fun	cardioWeeksOnTarget	2	False
testonly	domain/cardio/CardioWeekSeries.kt	97	fun	cardioLoadDeltaPct	4	False
testonly	domain/coach/CoachSignal.kt	18	object	SignalRegistry	26	False
testonly	domain/coach/CoachSignal.kt	41	val	reads	7	False
testonly	domain/coach/CoachSignal.kt	104	fun	statuses	2	False
testonly	domain/coach/LifeEvents.kt	234	fun	explain	5	False
testonly	domain/coach/SessionAdaptor.kt	15	object	SessionAdaptor	16	False
testonly	domain/coach/SessionAdaptor.kt	42	fun	triage	8	False
testonly	domain/coach/SessionAdaptor.kt	87	fun	soreReroute	3	False
testonly	domain/coach/SessionAdaptor.kt	111	fun	canSwapCleanly	2	False
testonly	domain/coach/TrustLadder.kt	94	val	volumeStep	1	False
testonly	domain/coach/TrustLadder.kt	98	val	mayInitiate	4	False
testonly	domain/coach/TrustLadder.kt	101	val	mayActFirst	3	False
testonly	domain/coach/TrustLadder.kt	172	fun	shouldDemote	5	False
testonly	domain/engine/AerobicBase.kt	116	fun	volumeAdvice	1	False
testonly	domain/engine/ConditioningPlanner.kt	148	fun	healthFloorMinutes	1	False
testonly	domain/engine/ConditioningProfile.kt	31	val	hasZones	2	False
testonly	domain/engine/ConditioningProfile.kt	34	fun	zoneFor	4	False
testonly	domain/engine/ConditioningProfile.kt	71	fun	refinedWith	3	False
testonly	domain/engine/ConditioningProfile.kt	114	fun	talkTestFor	1	False
testonly	domain/engine/ZoneCoach.kt	13	object	ZoneCoach	15	False
testonly	domain/engine/ZoneCoach.kt	78	fun	segmentsFor	1	False
testonly	program/Types.kt	80	val	isIsolation	1	False
testonly	ui/academy/AcademyFigures.kt	99	fun	figureExists	1	False
testonly	ui/gym/stats/state/StatsEngineUi.kt	32	val	advice	6	False
testonly	ui/gym/stats/state/StatsEngineUi.kt	67	fun	plateauFlagOf	5	False
testonly	ui/gym/stats/state/StatsUiState.kt	101	val	deltaVsPrevWeek	1	False
testonly	ui/profile/GallerySameWeight.kt	52	val	daysApart	1	False
zero	data/db/dao/AdviceEventDao.kt	16	fun	forAdvice	0	False
zero	data/db/dao/ExtendedGoalDao.kt	33	fun	observeForExercise	0	False
zero	data/db/dao/ExtendedGoalDao.kt	36	fun	markComplete	0	False
zero	data/db/dao/LoggedExerciseDao.kt	109	fun	observePrCount	0	False
zero	data/db/dao/LoggedExerciseDao.kt	152	fun	observeTotalLogged	0	False
zero	data/db/dao/LoggedExerciseDao.kt	160	fun	observeHeatmapTimestamps	0	False
zero	data/db/dao/LoggedExerciseDao.kt	181	fun	observeAllPrs	0	False
zero	data/db/dao/LoggedExerciseDao.kt	230	fun	prDatesPerExercise	0	False
zero	data/db/dao/LoggedExerciseDao.kt	245	fun	effortRatingsSince	0	False
zero	data/db/dao/LoggedSetDao.kt	274	fun	maxRepsAnySet	0	False
zero	data/db/dao/ProgramDao.kt	17	fun	observeDays	0	False
zero	data/db/dao/ProgramDao.kt	20	fun	observeSlots	0	False
zero	data/db/dao/SessionDao.kt	287	fun	observeFinishedInRange	0	False
zero	data/db/dao/SessionDao.kt	334	fun	observeMoodOverTime	0	False
zero	data/db/dao/SessionDao.kt	389	fun	lifetimeAggregate	0	False
zero	data/db/dao/SessionDao.kt	418	fun	perDayTypeStats	0	False
zero	data/db/dao/SessionDao.kt	424	val	prRate	0	False
zero	data/db/dao/SessionHrSampleDao.kt	26	fun	deleteForSession	0	False
zero	data/db/entities/CoachPass.kt	85	val	SCOPE_DAY	0	False
zero	data/db/entities/CoachPass.kt	86	val	SCOPE_SESSION	0	False
zero	data/db/entities/CoachPass.kt	88	val	OUTCOME_PENDING	0	False
zero	data/health/HealthConnectManager.kt	1122	fun	latestSleep	0	False
zero	data/health/HealthConnectManager.kt	1147	fun	latestRestingHr	0	False
zero	data/prefs/PreferencesDataStore.kt	318	val	ROTATION_UNIT	0	False
zero	data/prefs/PreferencesDataStore.kt	321	val	LAST_ROTATED_AT_MS	0	False
zero	data/prefs/SettingsRepository.kt	580	val	fontChoice	0	False
zero	data/prefs/SettingsRepository.kt	653	val	coachBriefIntroSeen	0	False
zero	data/prefs/SettingsRepository.kt	654	fun	setCoachBriefIntroSeen	0	False
zero	data/prefs/SettingsRepository.kt	687	val	monthlyPrTarget	0	False
zero	data/prefs/SettingsRepository.kt	688	fun	setMonthlyPrTarget	0	False
zero	data/prefs/SettingsRepository.kt	732	fun	setExerciseLiked	0	False
zero	data/prefs/SettingsRepository.kt	740	fun	setExerciseDisliked	0	False
zero	data/prefs/SettingsRepository.kt	805	val	rotationCounter	0	False
zero	data/prefs/SettingsRepository.kt	1156	fun	setUserAgeYears	0	False
zero	data/prefs/SettingsRepository.kt	1161	fun	setMaxHrOverride	0	False
